"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.181447,-0.00209611111111,0.0237982716049
0.1,0.1812755,-0.000762222222222,0.013677654321
0.15,0.1812755,0.000914666666667,-0.0125766666667
0.2,0.1816185,-0.001715,-0.0427373765432
0.25,0.181104,-0.00476388888889,-0.0447699691358
0.3,0.181104,-0.00714583333333,-0.0192461111111
0.35,0.180418,-0.00876555555556,0.048962191358
0.4,0.1799035,-0.00343,0.128677932099
0.45,0.179732,0.00743166666667,0.13804691358
0.5,0.180761,0.0163877777778,0.0293773148148
0.55,0.182133,0.0104805555556,-0.0922606481481
0.6,0.1816185,0.00524027777778,-0.160172530864
0.65,0.183162,-0.00933722222222,-0.0990888888889
0.7,0.180761,-0.018865,0.263707716049
0.75,0.1799035,0.00323944444444,0.859881944444
0.8,0.17836,0.0766986111111,1.24633919753
0.85,0.187278,0.157589444444,1.06022993827
0.9,0.1967105,0.192175277778,0.6474125
0.95,0.2070005,0.2118025,0.390850617284
1,0.2179765,0.224569722222,0.281969290123
1.05,0.229467,0.237051111111,0.26280787037
1.1,0.2416435,0.250294722222,0.266618981481
1.15,0.254506,0.263538333333,0.274664660494
1.2,0.267883,0.278496944444,0.268471604938
1.25,0.2824605,0.29155,0.242746604938
1.3,0.2972095,0.301649444444,0.236130092593
1.35,0.312473,0.314130833333,0.24825154321
1.4,0.328594,0.327088611111,0.253280092593
1.45,0.3452295,0.33957,0.258255709877
1.5,0.362551,0.352337222222,0.27138287037
1.55,0.380387,0.366438333333,0.286045061728
1.6,0.3990805,0.382349722222,0.274558796296
1.65,0.418803,0.395021666667,0.242799537037
1.7,0.438697,0.405502222222,0.230413425926
1.75,0.459277,0.417030833333,0.238512037037
1.8,0.4803715,0.429226388889,0.25211558642
1.85,0.502152,0.44247,0.262754938272
1.9,0.5246185,0.455808888889,0.269000925926
1.95,0.547771,0.468957222222,0.280963580247
2,0.571438,0.483439444444,0.297425462963
2.05,0.5959625,0.500208333333,0.291761728395
2.1,0.6216875,0.513070833333,0.292608641975
2.15,0.6474125,0.52479,0.389950771605
2.2,0.6738235,0.546799166667,0.55139367284
2.25,0.701092,0.584338611111,0.577277469136
2.3,0.7314475,0.629405,0.163824845679
2.35,0.7678055,0.607776944444,-0.345064351852
2.4,0.793702,0.559756944444,-0.230572222222
2.45,0.8202845,0.569856388889,0.176158024691
2.5,0.849954,0.5959625,0.299807407407
2.55,0.880824,0.610921111111,0.214861975309
2.6,0.9118655,0.611206944444,0.202073580247
2.65,0.941192,0.623497777778,0.314988333333
2.7,0.973434,0.648384333333,0.339538240741
2.75,1.006705,0.663133333333,0.274172391975
2.8,1.0404905,0.671708333333,0.217063950617
